host_id,neighbourhood,room_type,listings_count,availability
2758,3,2,3,51
2787,2,2,8,365
2845,3,1,1,365
4632,3,2,1,365
4869,2,1,1,153
5926,3,2,3,339
7322,3,1,1,342
7332,2,1,1,20
7356,2,2,2,362
7386,3,1,1,0
8967,3,2,1,252
7490,3,2,1,239
7549,3,1,4,284
7611,2,1,1,221
7626,3,1,1,15
7989,3,2,1,57
9744,2,2,3,343
10176,2,1,1,58
4267,3,2,2,82
10889,2,1,2,60
15991,2,1,1,290
16800,3,2,3,299
53179,2,2,3,365
17297,2,2,2,304
17571,2,1,2,331
17839,2,1,1,334
18946,3,2,1,210
19969,3,1,1,364
17985,3,2,1,334
21207,2,1,1,289
21286,3,1,1,258
22486,2,2,6,323
22486,2,2,6,335
22486,2,2,6,333
2758,3,2,3,268
23843,3,1,1,336
24222,3,1,2,278
24375,2,2,2,364
25183,2,1,2,309
29096,3,1,1,323
30193,3,1,1,161
31374,3,2,1,356
21904,3,1,1,353
32294,3,2,2,327
32045,3,2,1,288
32169,2,2,3,299
32294,3,2,2,337
33279,2,2,2,336
36017,2,1,1,110
35935,2,2,3,292
9744,2,2,3,322
33279,3,1,2,302
40979,2,2,1,273
44145,2,1,2,45
45016,2,1,1,340
45445,2,2,1,365
7549,3,3,4,288
46978,3,2,2,24
47610,2,1,1,363
47618,2,2,1,322
16800,3,2,3,311
48247,2,1,1,310
49163,2,1,1,365
49366,2,1,2,365
49623,3,2,1,86
50124,4,2,1,314
50148,2,1,1,287
50846,2,1,1,161
50912,2,2,1,365
52043,2,1,1,276
52233,2,1,1,238
52335,2,2,1,343
52751,3,1,1,286
7612,3,1,1,217
54275,2,2,3,274
41437,2,1,1,238
56094,3,1,1,41
56104,2,1,1,85
56246,2,1,1,298
56284,3,1,1,344
2339,3,1,2,314
56512,2,1,1,273
7356,2,2,2,363
56793,2,2,1,274
55469,2,2,5,365
55469,2,1,5,365
55469,2,2,5,365
59023,3,2,1,352
3647,4,1,3,358
59734,3,2,2,301
59777,2,1,7,273
16179,3,1,2,353
32169,2,2,3,329
60049,3,1,1,140
60089,3,2,1,0
60252,2,2,1,336
59777,2,2,7,273
59777,2,2,7,334
59777,2,2,7,334
61446,3,1,1,303
61491,3,1,1,280
62352,2,1,1,103
62407,3,1,2,34
62132,2,1,1,309
62687,2,2,2,57
656594,3,1,1,274
63588,2,1,2,296
63613,2,2,2,272
63924,3,2,1,277
63945,2,2,1,365
64381,3,1,1,327
64442,3,2,1,144
64522,2,1,1,352
65059,3,2,1,287
4396,3,2,2,273
65676,3,1,1,0
65738,3,1,1,292
65823,2,1,1,333
65837,3,1,1,243
59777,2,2,7,334
66035,3,1,1,320
66087,2,1,7,320
4267,3,1,2,353
59777,2,2,7,273
67105,2,1,3,164
67105,2,1,3,130
67105,2,1,3,179
7230,3,1,1,273
55021,3,2,2,324
69829,3,1,1,262
69942,3,2,1,334
70091,4,2,1,184
71512,2,2,1,114
71876,3,2,1,312
72014,2,2,4,270
73051,3,1,1,180
73128,3,1,1,335
44263,3,2,1,336
74303,2,1,1,273
74686,2,1,1,277
62407,3,2,2,38
76627,3,2,1,0
72014,2,2,4,285
78460,2,1,1,234
51038,2,2,5,347
42756,2,1,3,293
79070,2,1,1,247
79402,2,1,1,311
42756,2,1,3,274
42756,2,1,3,321
44145,2,1,2,338
42032,3,1,1,273
82260,3,1,1,316
82685,3,2,1,365
83257,3,2,2,354
86790,3,1,1,273
87336,3,1,1,31
87773,2,1,2,151
11481,2,1,3,328
49236,3,1,2,341
49236,3,1,2,338
