clinton_anger,clinton_contempt,clinton_disgust,clinton_fear,clinton_happiness,clinton_neutral,clinton_sadness,clinton_surprise,frame_time,trump_anger,trump_contempt,trump_disgust,trump_fear,trump_happiness,trump_neutral,trump_sadness,trump_surprise
0.000167293,0.004510239,0.000269524,7.91E-06,0.9039006,0.09033607,0.000107829,0.000700539,355,,,,,,,,
0.000222364,0.030894548,0.000518899,3.26E-06,0.653031349,0.313853323,0.000434728,0.001041556,360,,,,,,,,
0.000180146,0.008076612,0.002752905,5.38E-05,0.014762784,0.7024032,0.004682004,0.2670885,365,,,,,,,,
0.000230584,0.012364112,0.000641059,5.08E-06,0.881924331,0.103158787,8.94E-05,0.001586623,370,,,,,,,,
0.003400207,0.05115389,0.002209107,0.000136844,0.238202453,0.6850669,0.018456437,0.001374199,375,,,,,,,,
5.65E-05,0.007642251,0.000359396,2.39E-06,0.016533667,0.9627398,0.010052996,0.002613002,380,,,,,,,,
0.00139499,0.001977743,0.000423521,7.25E-05,0.00222164,0.842591166,0.002821398,0.148497,385,0.040143926,0.022682227,0.003746751,7.13E-06,2.95E-05,0.35265547,0.5807306,4.38E-06
0.000807846,0.004296978,0.004432955,0.000310128,0.022598017,0.902994037,0.02610663,0.038453426,390,0.196644872,0.007259707,0.001728243,1.10E-05,2.03E-06,0.478724867,0.315619171,1.01E-05
0.004974274,0.007162395,0.017805256,0.000672284,0.011096498,0.7839306,0.030003406,0.1443553,395,0.40597558,0.00970957,0.002751793,0.000528369,2.04E-05,0.516262352,0.063964404,0.000787473
0.001362259,0.004438514,0.003092047,8.20E-05,0.059593853,0.8907358,0.002866972,0.037828498,400,0.090040654,0.009502513,0.002405317,3.62E-06,5.01E-07,0.146946758,0.75109446,6.16E-06
0.000712001,0.025222147,0.003467974,9.61E-06,0.108639322,0.852993548,0.004680147,0.004275268,405,0.09275347,0.007434207,0.004401707,1.83E-06,5.05E-07,0.106478974,0.788927257,2.07E-06
7.97E-05,0.004238491,0.000138379,2.82E-06,0.000687888,0.94847697,0.04613125,0.000244468,410,0.025348306,0.004576145,0.011398549,0.000771652,0.000119218,0.9243777,0.02558093,0.007827529
0.000529306,0.005672877,0.001139325,8.60E-05,0.265281916,0.7137396,0.006441504,0.007109555,415,0.139688432,0.018703174,0.012132308,9.87E-05,2.44E-05,0.4747294,0.354519457,0.000104125
