clinton_anger,clinton_contempt,clinton_disgust,clinton_fear,clinton_happiness,clinton_sadness,clinton_surprise,frame_time
0.000167293,0.004510239,0.000269524,7.91E-06,0.9039006,0.000107829,0.000700539,355
0.000222364,0.030894548,0.000518899,3.26E-06,0.653031349,0.000434728,0.001041556,360
0.000180146,0.008076612,0.002752905,5.38E-05,0.014762784,0.004682004,0.2670885,365
0.000230584,0.012364112,0.000641059,5.08E-06,0.881924331,8.94E-05,0.001586623,370
0.003400207,0.05115389,0.002209107,0.000136844,0.238202453,0.018456437,0.001374199,375
5.65E-05,0.007642251,0.000359396,2.39E-06,0.016533667,0.010052996,0.002613002,380
0.00139499,0.001977743,0.000423521,7.25E-05,0.00222164,0.002821398,0.148497,385
0.000807846,0.004296978,0.004432955,0.000310128,0.022598017,0.02610663,0.038453426,390
0.004974274,0.007162395,0.017805256,0.000672284,0.011096498,0.030003406,0.1443553,395
0.001362259,0.004438514,0.003092047,8.20E-05,0.059593853,0.002866972,0.037828498,400
0.000712001,0.025222147,0.003467974,9.61E-06,0.108639322,0.004680147,0.004275268,405
7.97E-05,0.004238491,0.000138379,2.82E-06,0.000687888,0.04613125,0.000244468,410
0.000529306,0.005672877,0.001139325,8.60E-05,0.265281916,0.006441504,0.007109555,415
0.000312776,0.007861024,0.000402755,1.54E-05,0.024264282,0.002110723,0.025750637,420
0.002322796,0.03205158,0.001169224,3.02E-05,0.005147504,0.007109445,0.00483478,425
0.005604461,0.012748417,0.021578264,0.000610491,0.07808413,0.020415185,0.079066224,430
0.000163233,0.004628925,0.000224551,2.34E-06,0.518088341,0.000171205,0.000358224,435
0.000499311,0.001468096,0.000454079,9.88E-05,0.002120451,0.006548096,0.011267213,440
8.71E-05,0.000386146,0.000239726,2.48E-05,0.000360714,0.008470756,0.100380406,445
3.89E-05,0.002496036,0.000360834,4.11E-06,0.8552362,0.000839764,0.000620066,450
0.000231096,0.000114151,0.001159288,2.48E-05,0.9779009,0.000855259,0.006701403,455
0.000724314,0.003507347,0.000734902,0.000371083,0.029476699,0.011438195,0.03153522,460
0.000180294,0.001740385,0.000266299,0.000108711,0.001349652,0.007277445,0.007001,465
0.000104401,0.006179289,0.001131521,2.18E-05,0.251623273,0.003900809,0.00299781,470
0.000217693,0.002893587,0.000230824,1.16E-05,0.047514647,0.000691652,0.010408855,475
0.000530152,0.09607489,0.000426162,1.25E-06,0.5452552,0.00201011,4.12E-05,480
0.000319907,0.06977572,0.000576032,1.02E-05,0.348136455,0.018342273,0.000134643,485
0.000257638,0.000724465,0.00023479,7.71E-05,0.08889518,0.026132617,0.02203504,490
,,,,,,,495
,,,,,,,500
,,,,,,,505
0.001035669,0.03683436,0.000631825,3.18E-05,0.161598772,0.022762742,0.00043812,510
5.52E-05,0.003103522,4.08E-05,2.09E-06,0.321727335,0.00189949,0.000175526,515
1.44E-05,0.00202492,7.60E-06,1.64E-07,0.461657,0.000151473,5.86E-05,520
1.56E-05,0.001099271,2.44E-05,8.33E-07,0.8762112,0.000484643,2.97E-05,525
7.78E-05,0.002707394,4.76E-05,2.60E-06,0.09265161,0.003273093,0.000414854,530
0.00029099,0.003266404,0.000127538,6.02E-06,0.04114046,0.005580211,0.000549869,535
0.000421365,0.005659161,0.000200348,9.29E-06,0.10055057,0.005524973,0.000442306,540
0.000192423,0.004898177,0.000107712,5.51E-06,0.09684494,0.004033301,0.000471375,545
0.000224008,0.004825185,9.32E-05,2.29E-05,0.07815809,0.019198012,0.000291614,550
0.000236075,0.00380291,0.00010188,2.63E-05,0.040994685,0.02620704,0.000473134,555
0.00027655,0.03326813,0.000465018,2.12E-05,0.014287991,0.044206385,0.000436269,560
0.000744071,0.008492056,0.000449543,2.87E-05,0.11387109,0.011916648,0.000467685,565
0.000111367,0.004736131,0.000140777,1.25E-06,0.310429245,0.003327495,0.000196535,570
0.000307924,0.004353892,0.000265083,6.68E-06,0.09579376,0.004993338,0.000359536,575
0.000815135,0.008867646,0.000977546,4.41E-05,0.136896834,0.055476993,0.000456528,580
0.000205389,0.004315819,0.000326873,1.18E-05,0.053134885,0.06514135,0.000162037,585
0.000163958,0.002200046,4.66E-05,1.09E-05,0.098967046,0.014186687,0.000206856,590
0.000114623,0.002374176,5.78E-05,2.68E-05,0.040856022,0.031221699,0.000425614,595
0.000283337,0.007629208,0.000614951,1.11E-05,0.222546235,0.050729405,0.00018467,600
0.000418448,0.00533716,0.000207269,1.85E-05,0.106025308,0.004032794,0.000926316,605
0.000111767,0.003970379,7.34E-05,1.53E-06,0.2821759,0.001384226,0.000205778,610
1.84E-05,0.003377781,2.79E-05,2.13E-07,0.859790564,0.000110191,6.52E-05,615
0.000101055,0.002911063,0.000686891,3.73E-05,0.002566447,0.020750502,0.00989759,620
0.001013345,0.019623455,0.00718173,0.000162277,0.253346115,0.02602059,0.006221989,625
0.002918703,0.014587141,0.005897325,8.12E-05,0.299230069,0.004809838,0.005548987,630
0.003286593,0.005153229,0.005663748,2.68E-05,0.047073316,0.004690439,0.0172491,635
0.001820096,0.007154026,0.003347462,2.59E-05,0.129098639,0.011634888,0.003811077,640
0.004970521,0.013985632,0.008026809,0.000531205,0.086144455,0.017635023,0.06826289,645
7.93E-05,0.00273759,0.000609233,3.36E-05,0.001986466,0.06327035,0.003212003,650
0.001917496,0.000143268,0.001796428,0.005826331,0.7619862,0.01015609,0.191498369,655
0.001171079,0.006543946,0.006001937,7.04E-05,0.177329123,0.010589629,0.007510102,660
0.001605241,0.004947815,0.002070728,1.74E-05,0.6705819,0.000218999,0.003906496,665
0.027006287,0.009756118,0.024129313,0.000377587,0.08391244,0.010913899,0.0548309,670
0.000276404,0.002892933,0.00255488,7.06E-06,0.03709497,0.007302441,0.017339865,675
0.001895708,0.005681084,0.005034429,9.21E-05,0.08204211,0.002776312,0.15979977,680
0.000176685,0.004264879,0.000580876,0.000234499,0.006583135,0.006213024,0.149256572,685
0.004388216,0.005323376,0.018031742,0.002180881,0.036481477,0.011115902,0.5643824,690
0.007782459,0.001275273,0.003053182,0.013550915,0.00056443,0.001395017,0.8941033,695
0.00156191,0.031178499,0.008512103,0.001887753,0.014700387,0.063548595,0.029705199,700
2.82E-05,0.000914507,0.000138231,1.33E-05,0.001095827,0.002275005,0.09963538,705
0.002909839,0.010158962,0.007134115,0.000217133,0.5679027,0.016949575,0.005288001,710
0.00042461,0.00264462,0.000469829,0.000126144,0.014081689,0.005255328,0.013333012,715
0.000137454,0.045085255,0.000260554,3.12E-06,0.023255047,0.027936917,0.000387723,720
,,,,,,,740
2.77E-05,0.023574807,0.000108877,2.24E-06,0.002047636,0.03988097,0.000221797,745
0.00109505,0.003511806,0.001156854,1.96E-05,0.003827618,0.035098124,0.000641058,750
0.000657419,0.001065189,0.000292812,0.000130556,0.000356163,0.024138575,0.005817418,755
0.000581748,0.000515054,0.000121441,1.11E-05,0.000230713,0.008166382,0.00094183,760
0.000541491,0.001319867,0.000180798,1.69E-05,0.001702158,0.006862617,0.001844176,765
0.000410446,0.000483019,8.24E-05,8.79E-06,0.000228618,0.005035839,0.001412998,770
5.29E-05,0.00040157,1.16E-05,3.26E-06,0.000217702,0.007896734,0.000361677,775
0.000223367,0.000278134,5.06E-05,3.72E-06,9.82E-05,0.005049868,0.001287913,780
0.000574374,0.000925431,0.000329646,2.73E-05,0.000408268,0.013163093,0.002685797,785
0.000554858,0.00077057,0.000286046,2.24E-05,0.000265095,0.009979554,0.002624541,790
0.002567355,0.002320463,0.000919821,0.000273011,0.001182719,0.032874495,0.005231388,795
0.000550631,0.000964469,0.000147966,3.17E-06,0.002506821,0.004448804,0.000454758,800
2.27E-08,1.95E-08,4.08E-07,1.27E-08,0.9999986,2.70E-07,3.03E-07,805
4.33E-07,6.21E-06,7.54E-06,1.21E-08,0.999463,8.81E-07,4.61E-06,810
2.13E-05,0.004976002,3.77E-05,3.13E-06,0.82842344,0.001957257,3.82E-05,815
0.000283733,0.016429989,0.000347247,1.56E-05,0.4096024,0.014099062,0.000155791,820
